时间,经度,纬度,速度(km/h),备注
2024-03-15 08:30:00,116.397428,39.909230,0,公司出发
2024-03-15 08:35:00,116.402128,39.908530,35,朝阳路
2024-03-15 08:42:00,116.410528,39.915230,42,东三环北路
2024-03-15 08:50:00,116.421345,39.920123,55,北三环东路
2024-03-15 09:05:00,116.435628,39.908730,40,京承高速
2024-03-15 09:20:00,116.448128,39.912430,50,后沙峪
2024-03-15 09:35:00,116.458128,39.918730,30,客户A公司
2024-03-15 10:30:00,116.458128,39.918730,0,客户A公司出发
2024-03-15 10:45:00,116.452128,39.910230,38,返回途中
2024-03-15 11:00:00,116.438628,39.908530,45,京承高速
2024-03-15 11:20:00,116.420128,39.912430,42,北四环
2024-03-15 11:35:00,116.405128,39.910230,30,中关村
2024-03-15 11:50:00,116.397428,39.909230,0,返回公司
2024-03-16 09:00:00,116.397428,39.909230,0,公司出发
2024-03-16 09:20:00,116.388128,39.905630,35,西二环
2024-03-16 09:40:00,116.370128,39.898730,50,西三环
2024-03-16 10:00:00,116.355128,39.888230,45,西四环
2024-03-16 10:20:00,116.342128,39.882430,30,石景山
2024-03-16 10:40:00,116.335128,39.878730,25,客户B工厂
2024-03-16 12:00:00,116.335128,39.878730,0,客户B工厂出发
2024-03-16 12:25:00,116.348128,39.884430,40,返回
2024-03-16 12:50:00,116.365128,39.895630,55,西三环
2024-03-16 13:10:00,116.388128,39.905630,42,西二环
2024-03-16 13:30:00,116.397428,39.909230,0,返回公司
